Player,Ht.,Wt.,Player-additional,Birth Location
Evgeny Davydov,6-1,189,davydev01,Chelyabinsk RUS
Evgeny Davydov,6-1,189,davydev01,Chelyabinsk RUS
Evgeny Davydov,6-1,189,davydev01,Chelyabinsk RUS
Bill Huard,6-1,215,huardbi01,Welland CAN
Bill Huard,6-1,215,huardbi01,Welland CAN
Gord Hynes,6-1,170,hynesgo01,Montréal CAN
Gord Hynes,6-1,170,hynesgo01,Montréal CAN
Dane Jackson,6-1,200,jacksda01,Winnipeg CAN
Dane Jackson,6-1,200,jacksda01,Winnipeg CAN
Dane Jackson,6-1,200,jacksda01,Winnipeg CAN
Dane Jackson,6-1,200,jacksda01,Winnipeg CAN
Patrik Juhlin,6-1,196,juhlipa01,Huddinge SWE
Paul Laus,6-1,215,lauspa01,Beamsville CAN
Paul Laus,6-1,215,lauspa01,Beamsville CAN
Paul Laus,6-1,215,lauspa01,Beamsville CAN
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Nicklas Lidstrom,6-1,192,lidstni01,Vasteras SWE
Chris Lindberg,6-1,190,lindbch01,Fort Frances CAN
Chris Lindberg,6-1,190,lindbch01,Fort Frances CAN
Brad May,6-1,213,maybr01,Toronto CAN
Brad May,6-1,213,maybr01,Toronto CAN
Brad May,6-1,213,maybr01,Toronto CAN
Brad May,6-1,213,maybr01,Toronto CAN
Brad May,6-1,213,maybr01,Toronto CAN
Brad May,6-1,213,maybr01,Toronto CAN
Brad May,6-1,213,maybr01,Toronto CAN
Brad May,6-1,213,maybr01,Toronto CAN
Brad May,6-1,213,maybr01,Toronto CAN
Sergei Nemchinov,6-1,205,nemchse01,Moscow RUS
Sergei Nemchinov,6-1,205,nemchse01,Moscow RUS
Sergei Nemchinov,6-1,205,nemchse01,Moscow RUS
Sergei Nemchinov,6-1,205,nemchse01,Moscow RUS
Sergei Nemchinov,6-1,205,nemchse01,Moscow RUS
Sergei Nemchinov,6-1,205,nemchse01,Moscow RUS
Sergei Nemchinov,6-1,205,nemchse01,Moscow RUS
Sergei Nemchinov,6-1,205,nemchse01,Moscow RUS
Sergei Nemchinov,6-1,205,nemchse01,Moscow RUS
Sergei Nemchinov,6-1,205,nemchse01,Moscow RUS
Ricard Persson,6-1,201,perssri01,Ostersund SWE
Ricard Persson,6-1,201,perssri01,Ostersund SWE
Ricard Persson,6-1,201,perssri01,Ostersund SWE
Ricard Persson,6-1,201,perssri01,Ostersund SWE
Ricard Persson,6-1,201,perssri01,Ostersund SWE
Ricard Persson,6-1,201,perssri01,Ostersund SWE
Ricard Persson,6-1,201,perssri01,Ostersund SWE
Leif Rohlin,6-1,198,rohlile01,Vasteras SWE
Leif Rohlin,6-1,198,rohlile01,Vasteras SWE
Scott Scissons,6-1,190,scisssc01,Saskatoon CAN
Scott Scissons,6-1,190,scisssc01,Saskatoon CAN
Jiri Slegr,6-1,210,slegrji01,Jihlava CZE
Jiri Slegr,6-1,210,slegrji01,Jihlava CZE
Jiri Slegr,6-1,210,slegrji01,Jihlava CZE
Jiri Slegr,6-1,210,slegrji01,Jihlava CZE
Jiri Slegr,6-1,210,slegrji01,Jihlava CZE
Jiri Slegr,6-1,210,slegrji01,Jihlava CZE
Jiri Slegr,6-1,210,slegrji01,Jihlava CZE
Jiri Slegr,6-1,210,slegrji01,Jihlava CZE
Jiri Slegr,6-1,210,slegrji01,Jihlava CZE
Jiri Slegr,6-1,210,slegrji01,Jihlava CZE
Jiri Slegr,6-1,210,slegrji01,Jihlava CZE
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Darryl Sydor,6-1,211,sydorda01,Edmonton CAN
Tim Taylor,6-1,190,tayloti01,Stratford CAN
Tim Taylor,6-1,190,tayloti01,Stratford CAN
Tim Taylor,6-1,190,tayloti01,Stratford CAN
Tim Taylor,6-1,190,tayloti01,Stratford CAN
Tim Taylor,6-1,190,tayloti01,Stratford CAN
Tim Taylor,6-1,190,tayloti01,Stratford CAN
Brad Werenka,6-1,221,werenbr01,Two Hills CAN
Brad Werenka,6-1,221,werenbr01,Two Hills CAN
Brad Werenka,6-1,221,werenbr01,Two Hills CAN
Brad Werenka,6-1,221,werenbr01,Two Hills CAN
Brad Werenka,6-1,221,werenbr01,Two Hills CAN
Brad Werenka,6-1,221,werenbr01,Two Hills CAN
Valeri Zelepukin,6-1,200,zelepva01,Voskresensk RUS
Valeri Zelepukin,6-1,200,zelepva01,Voskresensk RUS
Valeri Zelepukin,6-1,200,zelepva01,Voskresensk RUS
Valeri Zelepukin,6-1,200,zelepva01,Voskresensk RUS
Valeri Zelepukin,6-1,200,zelepva01,Voskresensk RUS
Valeri Zelepukin,6-1,200,zelepva01,Voskresensk RUS
Valeri Zelepukin,6-1,200,zelepva01,Voskresensk RUS
Valeri Zelepukin,6-1,200,zelepva01,Voskresensk RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Alexei Zhamnov,6-1,204,zhamnal01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Sergei Zubov,6-1,198,zubovse01,Moscow RUS
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Scott Niedermayer,6-1,194,niedesc01,Edmonton CAN
Patrick Poulin,6-1,214,poulipa01,Vanier CAN
Patrick Poulin,6-1,214,poulipa01,Vanier CAN
Patrick Poulin,6-1,214,poulipa01,Vanier CAN
Patrick Poulin,6-1,214,poulipa01,Vanier CAN
Patrick Poulin,6-1,214,poulipa01,Vanier CAN
Patrick Poulin,6-1,214,poulipa01,Vanier CAN
Patrick Poulin,6-1,214,poulipa01,Vanier CAN
Patrick Poulin,6-1,214,poulipa01,Vanier CAN
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Martin Rucinsky,6-1,205,rucinma01,Most CZE
Steve Staios,6-1,200,staiost01,Hamilton CAN
Steve Staios,6-1,200,staiost01,Hamilton CAN
Steve Staios,6-1,200,staiost01,Hamilton CAN
Steve Staios,6-1,200,staiost01,Hamilton CAN
Steve Staios,6-1,200,staiost01,Hamilton CAN
Steve Staios,6-1,200,staiost01,Hamilton CAN
Steve Staios,6-1,200,staiost01,Hamilton CAN
Steve Staios,6-1,200,staiost01,Hamilton CAN
Steve Staios,6-1,200,staiost01,Hamilton CAN
Michael Nylander,6-1,200,nylanmi01,Stockholm SWE
Michael Nylander,6-1,200,nylanmi01,Stockholm SWE
Michael Nylander,6-1,200,nylanmi01,Stockholm SWE
Michael Nylander,6-1,200,nylanmi01,Stockholm SWE
Michael Nylander,6-1,200,nylanmi01,Stockholm SWE
Michael Nylander,6-1,200,nylanmi01,Stockholm SWE
Michael Nylander,6-1,200,nylanmi01,Stockholm SWE
Michael Nylander,6-1,200,nylanmi01,Stockholm SWE
Michael Nylander,6-1,200,nylanmi01,Stockholm SWE
Michael Nylander,6-1,200,nylanmi01,Stockholm SWE
Michael Nylander,6-1,200,nylanmi01,Stockholm SWE
