code,country_name,continent,language,language_tier
VIR,United States Virgin Islands,North America,en,0
DEU,Germany,Europe,de,2
SRB,Serbia,Europe,sr,4
NGA,Nigeria,Africa,en,0
ESP,Spain,Europe,es,1
CAN,Canada,North America,en,0
FRA,France,Europe,fr,1
GRC,Greece,Europe,el,4
JAM,Jamaica,North America,en,0
HRV,Croatia,Europe,hr,4
ZAF,South Africa,Africa,en,0
CMR,Cameroon,Africa,en,0
SVN,Slovenia,Europe,sl,4
RUS,Russia,Europe,ru,4
CHN,China,Asia,zh,5
COD,DR Congo,Africa,sw,3
SSD,South Sudan,Africa,,
ARG,Argentina,South America,es,1
DOM,Dominican Republic,North America,es,1
CHE,Switzerland,Europe,de,2
BRA,Brazil,South America,pt,1
GBR,United Kingdom,Europe,en,0
AUS,Australia,Oceania,en,0
PAN,Panama,North America,es,1
LTU,Lithuania,Europe,lt,4
NZL,New Zealand,Oceania,en,0
BEL,Belgium,Europe,fr,1
COG,Congo Republic,Africa,fr,1
TUR,Türkiye,Asia,tr,4
NLD,Netherlands,Europe,nl,1
POL,Poland,Europe,pl,4
BHS,Bahamas,North America,en,0
LBN,Lebanon,Asia,ar,5
FIN,Finland,Europe,sv,1
ITA,Italy,Europe,it,1
ROU,Romania,Europe,ro,1
LVA,Latvia,Europe,lv,4
BIH,Bosnia and Herzegovina,Europe,bs,4
HTI,Haiti,North America,ht,5
AUT,Austria,Europe,de,2
MNE,Montenegro,Europe,sr_Latn,5
LCA,St. Lucia,North America,en,0
GEO,Georgia,Asia,ka,4
SEN,Senegal,Africa,fr,1
CZE,Czechia,Europe,cs,4
MEX,Mexico,North America,es,1
PRI,Puerto Rico,North America,en,0
TTO,Trinidad and Tobago,North America,en,0
UKR,Ukraine,Europe,ru,4
SWE,Sweden,Europe,sv,1
MTQ,Martinique,North America,fr,1
JPN,Japan,Asia,ja,5
VCT,St. Vincent and the Grenadines,North America,en,0
VEN,Venezuela,South America,es,1
GLP,Guadeloupe,North America,fr,1
ISR,Israel,Asia,he,4
MKD,North Macedonia,Europe,mk,4
TUN,Tunisia,Africa,fr,1
SDN,Sudan,Africa,en,0
MLI,Mali,Africa,fr,1
GUF,French Guiana,South America,fr,1
TZA,Tanzania,Africa,en,0
EGY,Egypt,Africa,ar,5
PRT,Portugal,Europe,pt,1
MAR,Morocco,Africa,ar,5
AGO,Angola,Africa,pt,1
EST,Estonia,Europe,et,4
ISL,Iceland,Europe,is,4
GAB,Gabon,Africa,fr,1
CYP,Cyprus,Europe,el,4
DNK,Denmark,Europe,da,1
IRN,Iran,Asia,fa,4
TWN,Taiwan,Asia,zh_Hant,5
ATG,Antigua and Barbuda,North America,en,0
GIN,Guinea,Africa,,
CUB,Cuba,North America,es,1
GUY,Guyana,South America,en,0
URY,Uruguay,South America,es,1
CPV,Cabo Verde,Africa,pt,1
GHA,Ghana,Africa,ak,5
LUX,Luxembourg,Europe,fr,1
IRL,Ireland,Europe,en,0
KOR,South Korea,Asia,ko,5
NOR,Norway,Europe,no,1
COL,Colombia,South America,es,1
VGB,British Virgin Islands,North America,en,0
SVK,Slovakia,Europe,sk,4
DMA,Dominica,North America,en,0
BGR,Bulgaria,Europe,bg,4
CUW,Curacao,North America,pap,5
NIC,Nicaragua,North America,es,1
ABW,Aruba,North America,nl,1
HKG,Hong Kong,Asia,en,0
AFG,Afghanistan,Asia,ps,4
PHL,Philippines,Asia,en,0
HND,Honduras,North America,es,1
VNM,Vietnam,Asia,vi,4
GUM,Guam,Oceania,en,0
SGP,Singapore,Asia,en,0
PER,Peru,South America,es,1
BLZ,Belize,North America,en,0
IDN,Indonesia,Asia,id,3
ASM,American Samoa,Oceania,en,0
SAU,Saudi Arabia,Asia,ar,5
PRY,Paraguay,South America,gn,5
BLR,Belarus,Europe,be,5
UZB,Uzbekistan,Asia,uz,4
BRN,Brunei Darussalam,Asia,ms,3
KAZ,Kazakhstan,Asia,ru,4
HUN,Hungary,Europe,hu,4
ECU,Ecuador,South America,es,1
LBR,Liberia,Africa,en,0
SUR,Suriname,South America,nl,1
CRI,Costa Rica,North America,es,1
LBY,Libya,Africa,ar,5
GNB,Guinea-Bissau,Africa,pt,1
SLE,Sierra Leone,Africa,en,0
CHL,Chile,South America,es,1
CIV,Cote d'Ivoire,Africa,fr,1
KEN,Kenya,Africa,sw,3
SLV,El Salvador,North America,es,1
ZWE,Zimbabwe,Africa,en,0
SYR,Syria,Asia,ar,5
BOL,Bolivia,South America,es,1
UGA,Uganda,Africa,sw,3
MDG,Madagascar,Africa,fr,1
GMB,Gambia,Africa,en,0
RWA,Rwanda,Africa,rw,5
XKX,Kosovo,Europe,sq,4
LIE,Liechtenstein,Europe,de,2
IRQ,Iraq,Asia,ar,5
ALB,Albania,Europe,sq,4
