city_coords,sf_distance,ny_distance
"17.7289564,-64.75901597858353",5999.513781663315,2697.6874920931205
"49.7933723,9.9309779",9238.445843595437,6315.61203589142
"45.7727397,19.1147036",9985.574069030225,7133.541894310806
"6.4550575,3.3941795",12578.099519664273,8483.822183990447
"41.3828939,2.1774322",9595.356191148798,6182.280350145086
"43.6534817,-79.3839347",3652.533803618871,551.2433500192845
"49.8465253,3.2876843",8937.397501077014,5875.283332926678
"37.9755648,23.7348324",10930.039230617607,7945.641183709181
"17.9712148,-76.7928128",4938.1451886281875,2534.997199950528
"45.3310723,17.6765332",9972.087211368917,7064.957300207121
"51.0324743,6.9881194",9002.354095493652,6068.2679224521
"-26.205,28.049722",16969.20207826584,12833.543224877334
"3.8689867,11.5213344",13399.389528442587,9355.474180205812
"48.8588897,2.3200410217200766",8974.431204691977,5850.6498475580875
"46.0500268,14.5069289",9774.821435969014,6812.277703668864
"56.86051745,53.197730742455306",9508.940836806709,8118.203203032802
"31.2312707,121.4700152",9899.698676956645,11881.734949266664
"-4.3196982,15.3424196",14356.32257811774,10267.4313819542
"7.7001398,27.9909335",14113.503998559714,10456.11101603976
"-38.7176522,-62.2654871",10470.129577043035,8876.516153983743
"50.0820384,8.2416556",9140.325757854824,6192.1264034810765
"19.7891616,-70.6926181",5352.735386357407,2340.977643391868
"46.2017559,6.1466014",9385.709876780104,6233.254760351055
"-22.0180395,-47.891154",10214.038641978068,7452.430104914287
"52.9086926,0.4940848",8553.80015282306,5577.457126662559
"-37.8142454,144.9631732",12644.886609032628,16672.00526061594
"38.9736819,-5.8003669",9327.364530137924,5687.331402355581
"49.9740542,9.1493636",9188.989126440403,6256.236113346921
"43.5116383,16.4399659",10095.099307655182,7089.130181425117
"46.5093268,6.498317",9375.62725652792,6242.874546741825
"8.9714493,-79.5341802",5348.839986240477,3558.832917701805
"54.8982139,23.9044817",9246.590997470385,6882.798810088002
"-38.1381493,176.252922",10494.892515199725,14131.818395102646
"51.2085526,3.226772",8819.732170466381,5816.566241699958
"-4.27250705,15.28303990586435",14348.008408621728,10259.030269496934
"43.389209,19.6493525",10237.443055408168,7314.320234827817
"40.5928976,29.077611679403788",10855.500654575895,8125.835363680953
"4.0429408,9.706203",13251.008110443026,9189.619315705278
"41.006381,28.9758715",10809.76836029953,8090.073646355802
"48.9759637,2.1998877",8958.834403208448,5837.648914992955
"40.4167047,-3.7035825",9340.128280498957,5782.62262573418
"52.9529894,4.8267592494488",8742.89933145393,5851.264289181503
