Player,Player-additional,League,Season,Home Continent,Home Country,Home City,Overall Value,Offensive Performance,Defensive Performance,Measurables,Migration Difficulty
Tim Duncan,duncati01,NBA,2001-02,North America,United States Virgin Islands,St. Croix,85,,,,3.0
Dirk Nowitzki,nowitdi01,NBA,2005-06,Europe,Germany,Wurzburg,85,,,,37.0
Nikola Jokić,jokicni01,NBA,2023-24,Europe,Serbia,Sombor,84,,,,68.0
Tim Duncan,duncati01,NBA,2002-03,North America,United States Virgin Islands,St. Croix,83,,,,3.0
Dirk Nowitzki,nowitdi01,NBA,2006-07,Europe,Germany,Wurzburg,83,,,,37.0
Dirk Nowitzki,nowitdi01,NBA,2002-03,Europe,Germany,Wurzburg,82,,,,37.0
Hakeem Olajuwon,olajuha01,NBA,1992-93,Africa,Nigeria,Lagos,82,,,,10.0
Nikola Jokić,jokicni01,NBA,2020-21,Europe,Serbia,Sombor,82,,,,68.0
Dirk Nowitzki,nowitdi01,NBA,2004-05,Europe,Germany,Wurzburg,82,,,,37.0
Nikola Jokić,jokicni01,NBA,2021-22,Europe,Serbia,Sombor,81,,,,68.0
Nikola Jokić,jokicni01,NBA,2022-23,Europe,Serbia,Sombor,80,,,,68.0
Pau Gasol,gasolpa01,NBA,2010-11,Europe,Spain,Barcelona,80,,,,22.0
Shai Gilgeous-Alexander,gilgesh01,NBA,2023-24,North America,Canada,Toronto,80,,,,0.0
Dirk Nowitzki,nowitdi01,NBA,2000-01,Europe,Germany,Wurzburg,30,,,,37.0
Rudy Gobert,goberru01,NBA,2018-19,Europe,France,Saint-Quentin,30,,,,22.0
Giannis Antetokounmpo,antetgi01,NBA,2018-19,Europe,Greece,Athens,80,,,,69.0
Hakeem Olajuwon,olajuha01,NBA,1993-94,Africa,Nigeria,Lagos,79,,,,10.0
Rudy Gobert,goberru01,NBA,2016-17,Europe,France,Saint-Quentin,29,,,,22.0
Pau Gasol,gasolpa01,NBA,2008-09,Europe,Spain,Barcelona,79,,,,22.0
Patrick Ewing,ewingpa01,NBA,1989-90,North America,Jamaica,Kingston,78,,,,3.0
Peja Stojaković,stojape01,NBA,2003-04,Europe,Croatia,Slavonska Pozega,78,,,,68.0
Dirk Nowitzki,nowitdi01,NBA,2001-02,Europe,Germany,Wurzburg,78,,,,37.0
Tim Duncan,duncati01,NBA,2000-01,North America,United States Virgin Islands,St. Croix,77,,,,3.0
Giannis Antetokounmpo,antetgi01,NBA,2023-24,Europe,Greece,Athens,77,,,,69.0
Tim Duncan,duncati01,NBA,2003-04,North America,United States Virgin Islands,St. Croix,77,,,,3.0
Patrick Ewing,ewingpa01,NBA,1993-94,North America,Jamaica,Kingston,77,,,,3.0
Tim Duncan,duncati01,NBA,2006-07,North America,United States Virgin Islands,St. Croix,77,,,,3.0
Tim Duncan,duncati01,NBA,1999-00,North America,United States Virgin Islands,St. Croix,77,,,,3.0
Patrick Ewing,ewingpa01,NBA,1991-92,North America,Jamaica,Kingston,77,,,,3.0
Detlef Schrempf,schrede01,NBA,1994-95,Europe,Germany,Leverkusen,77,,,,37.0
Giannis Antetokounmpo,antetgi01,NBA,2021-22,Europe,Greece,Athens,77,,,,69.0
Dirk Nowitzki,nowitdi01,NBA,2007-08,Europe,Germany,Wurzburg,77,,,,37.0
Tim Duncan,duncati01,NBA,1997-98,North America,United States Virgin Islands,St. Croix,77,,,,3.0
Steve Nash,nashst01,NBA,2006-07,Africa,South Africa,Johannesburg,76,,,,16.0
Giannis Antetokounmpo,antetgi01,NBA,2016-17,Europe,Greece,Athens,76,,,,69.0
Hakeem Olajuwon,olajuha01,NBA,1988-89,Africa,Nigeria,Lagos,76,,,,10.0
Steve Nash,nashst01,NBA,2005-06,Africa,South Africa,Johannesburg,76,,,,16.0
Joel Embiid,embiijo01,NBA,2022-23,Africa,Cameroon,Yaounde,76,,,,11.0
Dirk Nowitzki,nowitdi01,NBA,2009-10,Europe,Germany,Wurzburg,76,,,,37.0
Dominique Wilkins,wilkido01,NBA,1986-87,Europe,France,Paris,76,,,,22.0
Joel Embiid,embiijo01,NBA,2021-22,Africa,Cameroon,Yaounde,75,,,,11.0
Luka Dončić,doncilu01,NBA,2023-24,Europe,Slovenia,Ljubljana,75,,,,68.0
Pau Gasol,gasolpa01,NBA,2005-06,Europe,Spain,Barcelona,75,,,,22.0
Giannis Antetokounmpo,antetgi01,NBA,2017-18,Europe,Greece,Athens,75,,,,69.0
Nikola Jokić,jokicni01,NBA,2018-19,Europe,Serbia,Sombor,75,,,,68.0
Rudy Gobert,goberru01,NBA,2021-22,Europe,France,Saint-Quentin,75,,,,22.0
Rudy Gobert,goberru01,NBA,2023-24,Europe,France,Saint-Quentin,25,,,,22.0
Steve Nash,nashst01,NBA,2002-03,Africa,South Africa,Johannesburg,75,,,,16.0
Andrei Kirilenko,kirilan01,NBA,2003-04,Europe,Russia,Izhevsk,75,,,,70.0
Dirk Nowitzki,nowitdi01,NBA,2003-04,Europe,Germany,Wurzburg,75,,,,37.0
Marc Gasol,gasolma01,NBA,2012-13,Europe,Spain,Barcelona,25,,,,22.0
Shai Gilgeous-Alexander,gilgesh01,NBA,2022-23,North America,Canada,Toronto,74,,,,0.0
Dominique Wilkins,wilkido01,NBA,1990-91,Europe,France,Paris,74,,,,22.0
Yao Ming,mingya01,NBA,2003-04,Asia,China,Shanghai,74,,,,87.0
Dikembe Mutombo,mutomdi01,NBA,1996-97,Africa,DR Congo,Kinshasa,74,,,,57.0
Rudy Gobert,goberru01,NBA,2020-21,Europe,France,Saint-Quentin,74,,,,22.0
Luol Deng,denglu01,NBA,2006-07,Africa,South Sudan,Wau,24,,,,13.0
Hakeem Olajuwon,olajuha01,NBA,1989-90,Africa,Nigeria,Lagos,74,,,,10.0
Tim Duncan,duncati01,NBA,2004-05,North America,United States Virgin Islands,St. Croix,74,,,,3.0
Giannis Antetokounmpo,antetgi01,NBA,2019-20,Europe,Greece,Athens,74,,,,69.0
Manu Ginóbili,ginobma01,NBA,2007-08,South America,Argentina,Bahia Blanca,24,,,,26.0
Dirk Nowitzki,nowitdi01,NBA,2010-11,Europe,Germany,Wurzburg,74,,,,37.0
Dominique Wilkins,wilkido01,NBA,1989-90,Europe,France,Paris,74,,,,22.0
Tim Duncan,duncati01,NBA,2007-08,North America,United States Virgin Islands,St. Croix,74,,,,3.0
Kiki Vandeweghe,vandeki01,NBA,1982-83,Europe,Germany,Wiesbaden,74,,,,37.0
