Player,Player-additional,League,Season,Home Continent,Home Country,Home City,Overall Value,Offensive Performance,Defensive Performance,Biometrics,Migration Difficulty
Antti Aalto,aaltoan01,NHL,1999-00,Europe,Finland,Lappeenranta,12.2,9.1,0.0,60.1,23.0
Antti Aalto,aaltoan01,NHL,2000-01,Europe,Finland,Lappeenranta,10.2,3.9,0.0,60.1,23.0
Spencer Abbott,abbotsp01,NHL,2013-14,North America,Canada,Hamilton,9.1,0.0,5.2,,0.0
Spencer Abbott,abbotsp01,NHL,2016-17,North America,Canada,Hamilton,9.4,0.0,0.0,,0.0
Sid Abel,abelsi01,NHL,1940-41,North America,Canada,Melville,22.0,17.4,0.0,34.5,2.0
Sid Abel,abelsi01,NHL,1941-42,North America,Canada,Melville,26.0,28.2,0.0,34.5,2.0
Sid Abel,abelsi01,NHL,1942-43,North America,Canada,Melville,23.6,25.7,0.0,34.5,2.0
Sid Abel,abelsi01,NHL,1946-47,North America,Canada,Melville,26.4,25.0,0.0,34.5,2.0
Sid Abel,abelsi01,NHL,1947-48,North America,Canada,Melville,26.0,20.8,0.0,34.5,2.0
Sid Abel,abelsi01,NHL,1948-49,North America,Canada,Melville,38.2,32.4,0.0,34.5,2.0
Sid Abel,abelsi01,NHL,1949-50,North America,Canada,Melville,45.7,37.2,0.0,34.5,2.0
Sid Abel,abelsi01,NHL,1950-51,North America,Canada,Melville,38.2,28.8,0.0,34.5,2.0
Sid Abel,abelsi01,NHL,1951-52,North America,Canada,Melville,33.9,24.7,0.0,34.5,2.0
Pontus Åberg,abergpo01,NHL,2017-18,Europe,Sweden,Stockholm,14.6,7.4,60.5,46.7,22.0
Pontus Åberg,abergpo01,NHL,2018-19,Europe,Sweden,Stockholm,17.3,14.5,84.5,46.7,22.0
Pontus Åberg,abergpo01,NHL,2019-20,Europe,Sweden,Stockholm,9.4,2.0,9.4,46.7,22.0
Ramzi Abid,abidra01,NHL,2002-03,North America,Canada,Montreal,17.7,16.4,0.0,58.6,0.0
Ramzi Abid,abidra01,NHL,2003-04,North America,Canada,Montreal,10.6,8.4,0.0,58.6,0.0
Ramzi Abid,abidra01,NHL,2005-06,North America,Canada,Montreal,9.8,3.3,0.0,58.6,0.0
Ramzi Abid,abidra01,NHL,2006-07,North America,Canada,Montreal,10.2,6.1,0.0,58.6,0.0
Thommy Abrahamsson,abrahth01,NHL,1980-81,Europe,Sweden,Umea,19.3,12.6,0.0,,22.0
Vitaly Abramov,abramvi01,NHL,2018-19,Europe,Russia,Chelyabinsk,9.1,0.0,13.9,,70.0
Vitaly Abramov,abramvi01,NHL,2019-20,Europe,Russia,Chelyabinsk,10.2,15.9,0.0,,70.0
Gene Achtymichuk,achtyge01,NHL,1957-58,North America,Canada,Lamont,11.8,10.5,0.0,,2.0
Doug Acomb,acombdo01,NHL,1969-70,North America,Canada,Toronto,9.8,4.7,0.0,,0.0
Keith Acton,actonke01,NHL,1979-80,North America,Canada,Stouffville,9.4,4.7,0.0,25.7,0.0
Keith Acton,actonke01,NHL,1980-81,North America,Canada,Stouffville,18.9,19.9,0.0,25.7,0.0
Keith Acton,actonke01,NHL,1981-82,North America,Canada,Stouffville,38.2,40.5,0.0,25.7,0.0
Keith Acton,actonke01,NHL,1982-83,North America,Canada,Stouffville,20.5,25.0,0.0,25.7,0.0
Keith Acton,actonke01,NHL,1983-84,North America,Canada,Stouffville,24.8,27.6,0.0,25.7,0.0
Keith Acton,actonke01,NHL,1984-85,North America,Canada,Stouffville,23.2,24.6,0.0,25.7,0.0
Keith Acton,actonke01,NHL,1985-86,North America,Canada,Stouffville,22.8,27.8,0.0,25.7,0.0
Keith Acton,actonke01,NHL,1986-87,North America,Canada,Stouffville,17.7,19.4,0.0,25.7,0.0
Keith Acton,actonke01,NHL,1987-88,North America,Canada,Stouffville,11.4,13.2,0.0,25.7,0.0
Keith Acton,actonke01,NHL,1988-89,North America,Canada,Stouffville,18.1,17.7,0.0,25.7,0.0
Keith Acton,actonke01,NHL,1989-90,North America,Canada,Stouffville,13.8,14.4,0.0,25.7,0.0
Keith Acton,actonke01,NHL,1990-91,North America,Canada,Stouffville,16.9,16.6,0.0,25.7,0.0
Luke Adam,adamlu01,NHL,2010-11,North America,Canada,St. John's,9.8,6.7,42.2,,2.0
Luke Adam,adamlu01,NHL,2011-12,North America,Canada,St. John's,17.3,12.8,110.4,,2.0
Luke Adam,adamlu01,NHL,2012-13,North America,Canada,St. John's,10.2,8.1,21.4,,2.0
Russ Adam,adamru01,NHL,1982-83,North America,Canada,Windsor,9.4,6.8,0.0,,0.0
Craig Adams,adamscr01,NHL,2005-06,Asia,Brunei Darussalam,Seria,15.7,11.3,0.0,48.9,60.0
Greg Adams,adamsgr01,NHL,1980-81,North America,Canada,Duncan,10.2,16.7,0.0,59.1,1.0
Greg Adams,adamsgr01,NHL,1980-81,North America,Canada,Duncan,10.2,16.7,0.0,48.9,1.0
Greg Adams,adamsgr01,NHL,1981-82,North America,Canada,Duncan,12.2,11.3,0.0,59.1,1.0
Greg Adams,adamsgr01,NHL,1981-82,North America,Canada,Duncan,12.2,11.3,0.0,48.9,1.0
Greg Adams,adamsgr01,NHL,1985-86,North America,Canada,Duncan,24.4,23.1,0.0,59.1,1.0
Greg Adams,adamsgr01,NHL,1985-86,North America,Canada,Duncan,24.4,23.1,0.0,48.9,1.0
Greg Adams,adamsgr01,NHL,1986-87,North America,Canada,Duncan,20.9,19.7,0.0,59.1,1.0
Greg Adams,adamsgr01,NHL,1986-87,North America,Canada,Duncan,20.9,19.7,0.0,48.9,1.0
Greg Adams,adamsgr01,NHL,1987-88,North America,Canada,Duncan,14.6,14.6,0.0,59.1,1.0
Greg Adams,adamsgr01,NHL,1987-88,North America,Canada,Duncan,14.6,14.6,0.0,48.9,1.0
Greg Adams,adamsgr01,NHL,1989-90,North America,Canada,Duncan,11.0,8.9,0.0,59.1,1.0
Greg Adams,adamsgr01,NHL,1989-90,North America,Canada,Duncan,11.0,8.9,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1984-85,North America,Canada,Nelson,14.2,18.4,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1984-85,North America,Canada,Nelson,14.2,18.4,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1985-86,North America,Canada,Nelson,30.3,37.4,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1985-86,North America,Canada,Nelson,30.3,37.4,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1986-87,North America,Canada,Nelson,20.1,23.0,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1986-87,North America,Canada,Nelson,20.1,23.0,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1987-88,North America,Canada,Nelson,32.7,37.2,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1987-88,North America,Canada,Nelson,32.7,37.2,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1988-89,North America,Canada,Nelson,16.9,20.8,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1988-89,North America,Canada,Nelson,16.9,20.8,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1989-90,North America,Canada,Nelson,26.4,31.1,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1989-90,North America,Canada,Nelson,26.4,31.1,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1990-91,North America,Canada,Nelson,24.8,26.8,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1990-91,North America,Canada,Nelson,24.8,26.8,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1991-92,North America,Canada,Nelson,29.5,30.3,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1991-92,North America,Canada,Nelson,29.5,30.3,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1992-93,North America,Canada,Nelson,30.7,33.3,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1992-93,North America,Canada,Nelson,30.7,33.3,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1993-94,North America,Canada,Nelson,19.3,17.0,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1993-94,North America,Canada,Nelson,19.3,17.0,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1994-95,North America,Canada,Nelson,15.4,13.2,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1994-95,North America,Canada,Nelson,15.4,13.2,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1995-96,North America,Canada,Nelson,22.8,24.3,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1995-96,North America,Canada,Nelson,22.8,24.3,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1996-97,North America,Canada,Nelson,28.3,25.7,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1996-97,North America,Canada,Nelson,28.3,25.7,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1997-98,North America,Canada,Nelson,25.2,19.8,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1997-98,North America,Canada,Nelson,25.2,19.8,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1998-99,North America,Canada,Nelson,26.0,21.0,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1998-99,North America,Canada,Nelson,26.0,21.0,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,1999-00,North America,Canada,Nelson,27.2,22.7,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,1999-00,North America,Canada,Nelson,27.2,22.7,0.0,48.9,1.0
Greg Adams,adamsgr02,NHL,2000-01,North America,Canada,Nelson,17.3,13.2,0.0,59.1,1.0
Greg Adams,adamsgr02,NHL,2000-01,North America,Canada,Nelson,17.3,13.2,0.0,48.9,1.0
Jack Adams,adamsja01,NHL,1922-23,North America,Canada,Fort William,25.6,37.5,0.0,30.6,2.0
Jack Adams,adamsja01,NHL,1923-24,North America,Canada,Fort William,23.6,26.6,0.0,30.6,2.0
Jack Adams,adamsja01,NHL,1924-25,North America,Canada,Fort William,35.8,38.7,0.0,30.6,2.0
Jack Adams,adamsja01,NHL,1925-26,North America,Canada,Fort William,35.0,29.2,0.0,30.6,2.0
John Adams,adamsjo01,NHL,1940-41,North America,Canada,Calgary,13.8,10.8,0.0,29.0,2.0
Stew Adams,adamsst01,NHL,1929-30,North America,Canada,Calgary,12.6,9.7,0.0,29.8,2.0
Stew Adams,adamsst01,NHL,1930-31,North America,Canada,Calgary,16.9,11.3,0.0,29.8,2.0
Calen Addison,addisca01,NHL,2021-22,North America,Canada,Brandon,10.6,6.4,49.3,35.7,2.0
Calen Addison,addisca01,NHL,2022-23,North America,Canada,Brandon,22.0,9.6,270.9,35.7,2.0
Calen Addison,addisca01,NHL,2023-24,North America,Canada,Brandon,12.6,4.7,590.9,35.7,2.0
Rick Adduono,adduori01,NHL,1975-76,North America,Canada,Fort William,9.1,0.0,0.0,,2.0
Dmitry Afanasenkov,afanadm01,NHL,2000-01,Europe,Russia,Arkhangelsk,10.2,5.0,0.0,,68.0
Dmitry Afanasenkov,afanadm01,NHL,2003-04,Europe,Russia,Arkhangelsk,12.2,7.4,0.0,,68.0
Dmitry Afanasenkov,afanadm01,NHL,2005-06,Europe,Russia,Arkhangelsk,13.4,9.1,0.0,,68.0
