Rank,Player,League,Overall Value,Offensive Performance,Defensive Performance,Biometrics,Migration Difficulty
1,Yao Ming,NBA,88.7,58.6,61.2,89.2,100.0
2,Alex Ovechkin,NHL,69.0,68.8,67.2,75.4,85.9
3,Zdeno Chára,NHL,61.3,49.3,66.9,99.0,85.9
4,Kodai Senga,MLB,67.7,63.0,76.9,53.5,91.9
5,Miguel Almirón,MLS,78.1,75.3,62.9,40.3,90.5
6,Ali Ghazal,MLS,45.7,44.2,70.4,83.6,100.0
7,Nikita Zadorov,NHL,50.2,45.9,74.9,88.9,85.9
8,Nikola Jokić,NBA,82.1,80.4,67.3,68.0,78.3
9,Dae-ho Lee,MLB,48.0,59.3,52.5,77.3,100.0
10,Luka Dončić,NBA,83.3,89.3,63.3,45.9,78.3
11,Kai-Wei Teng,MLB,46.2,57.6,51.4,80.8,100.0
12,Moritz Seider,NHL,57.4,48.6,89.9,,71.9
13,David Whitehurst,NFL,43.2,81.1,100.0,43.6,65.0
14,Toru Murata,MLB,46.7,100.0,52.1,41.8,91.9
15,Erik Černák,NHL,50.4,44.8,78.0,72.2,85.9
16,Anže Kopitar,NHL,60.3,57.8,59.5,70.2,85.9
17,Alexander Romanov,NHL,54.8,45.5,84.4,59.9,85.9
18,Shohei Ohtani,MLB,62.1,67.9,54.6,63.3,91.9
19,Anthony Brown,NFL,62.1,47.2,48.7,70.8,100.0
20,Raman Hrabarenka,NHL,41.7,41.6,86.8,,93.0
21,Hee-Seop Choi,MLB,50.4,54.0,52.1,74.5,100.0
22,Jiman Choi,MLB,50.3,56.9,52.3,71.6,100.0
23,Martin Hanzal,NHL,47.7,49.6,66.4,81.7,85.9
24,Victor Hedman,NHL,62.4,50.7,69.6,91.3,57.8
25,Alexey Toropchenko,NHL,45.8,48.7,67.5,78.4,85.9
26,Hines Ward,NFL,71.6,74.0,48.7,39.5,100.0
27,Ivan Provorov,NHL,55.1,48.3,76.0,61.9,85.9
28,Roddery Muñoz,MLB,48.0,100.0,66.4,58.9,51.3
29,Alexei Emelin,NHL,49.8,44.6,82.1,64.2,85.9
30,Rafael Czichos,MLS,42.3,47.0,61.2,75.8,100.0
31,Maya Yoshida,MLS,49.8,48.4,54.7,70.6,100.0
32,Ma'ake Kemoeatu,NFL,59.3,47.2,51.1,76.4,91.2
