Player,Player-additional,League,Season,Home Continent,Home Country,Home City,Overall Value,Offensive Performance,Defensive Performance,Biometrics,Migration Difficulty
Alaa Abdelnaby,abdelal01,NBA,1990,Africa,Egypt,Cairo,44.9,40.8,42.4,54.7,100.0
Alaa Abdelnaby,abdelal01,NBA,1991,Africa,Egypt,Cairo,46.9,44.7,47.0,54.7,100.0
Alaa Abdelnaby,abdelal01,NBA,1992,Africa,Egypt,Cairo,46.7,46.2,48.3,54.7,100.0
Alaa Abdelnaby,abdelal01,NBA,1993,Africa,Egypt,Cairo,44.3,41.0,43.0,54.7,100.0
Alaa Abdelnaby,abdelal01,NBA,1994,Africa,Egypt,Cairo,44.7,42.3,43.6,54.7,100.0
Tariq Abdul-Wahad,abdulta01,NBA,1997,Europe,France,Maisons Alfort,44.1,45.7,45.5,42.0,34.9
Tariq Abdul-Wahad,abdulta01,NBA,1998,Europe,France,Maisons Alfort,46.1,47.8,50.0,42.0,34.9
Tariq Abdul-Wahad,abdulta01,NBA,1999,Europe,France,Maisons Alfort,47.0,52.4,52.6,42.0,34.9
Tariq Abdul-Wahad,abdulta01,NBA,2000,Europe,France,Maisons Alfort,43.9,42.0,44.7,42.0,34.9
Tariq Abdul-Wahad,abdulta01,NBA,2001,Europe,France,Maisons Alfort,44.4,43.5,46.4,42.0,34.9
Tariq Abdul-Wahad,abdulta01,NBA,2002,Europe,France,Maisons Alfort,44.8,43.0,43.3,42.0,34.9
Álex Abrines,abrinal01,NBA,2016,Europe,Spain,Palma de Mallorca,46.9,45.0,44.8,36.2,34.9
Álex Abrines,abrinal01,NBA,2017,Europe,Spain,Palma de Mallorca,47.0,43.4,45.1,36.2,34.9
Álex Abrines,abrinal01,NBA,2018,Europe,Spain,Palma de Mallorca,45.1,42.8,44.0,36.2,34.9
Precious Achiuwa,achiupr01,NBA,2020,Africa,Nigeria,Port Harcourt,45.9,43.5,46.7,46.6,34.9
Precious Achiuwa,achiupr01,NBA,2021,Africa,Nigeria,Port Harcourt,47.4,49.9,53.6,46.6,34.9
Precious Achiuwa,achiupr01,NBA,2022,Africa,Nigeria,Port Harcourt,47.0,48.0,51.6,46.6,34.9
Precious Achiuwa,achiupr01,NBA,2023,Africa,Nigeria,Port Harcourt,48.4,49.2,55.4,46.6,34.9
Steven Adams,adamsst01,NBA,2013,Oceania,New Zealand,Rotorua,47.8,42.8,50.7,63.1,34.9
Steven Adams,adamsst01,NBA,2014,Oceania,New Zealand,Rotorua,49.2,47.8,57.1,63.1,34.9
Steven Adams,adamsst01,NBA,2015,Oceania,New Zealand,Rotorua,52.1,48.2,56.2,63.1,34.9
Steven Adams,adamsst01,NBA,2016,Oceania,New Zealand,Rotorua,52.1,52.5,60.4,63.1,34.9
Steven Adams,adamsst01,NBA,2017,Oceania,New Zealand,Rotorua,55.9,54.9,60.5,63.1,34.9
Steven Adams,adamsst01,NBA,2018,Oceania,New Zealand,Rotorua,55.2,56.6,63.9,63.1,34.9
Steven Adams,adamsst01,NBA,2019,Oceania,New Zealand,Rotorua,52.1,54.3,59.8,63.1,34.9
Steven Adams,adamsst01,NBA,2020,Oceania,New Zealand,Rotorua,49.1,49.7,56.6,63.1,34.9
Steven Adams,adamsst01,NBA,2021,Oceania,New Zealand,Rotorua,52.5,55.5,59.6,63.1,34.9
Steven Adams,adamsst01,NBA,2022,Oceania,New Zealand,Rotorua,48.4,50.1,57.8,63.1,34.9
Deng Adel,adelde01,NBA,2018,Africa,South Sudan,Juba,44.1,39.3,40.4,38.3,34.9
